OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UFO 11 (USA 174),2003-057A,2026-08-26T23:39:28.895904,1.00271615,.00034647,8.9946,33.4378,139.1338,232.9960,0,U,28117,999,8316,0,-.101E-5,0
NAVSTAR 53 (USA 175),2003-058A,2026-08-23T12:23:42.250272,1.92678598,.00007407,55.0658,20.7797,300.8622,59.1416,0,U,28129,999,16576,0,-.79E-6,0
USA 176 (DSP 22),2004-004A,2026-08-26T17:56:14.388000,1.00270936,.00019291,12.1562,25.5311,302.1250,227.3620,0,U,28158,999,3364,0,-.293E-5,0
ABS-4 (MOBISAT-1),2004-007A,2026-08-27T03:00:41.535936,1.00269988,.00050886,6.2152,71.1135,87.2417,283.1658,0,U,28184,999,5305,0,.39E-6,0
NAVSTAR 54 (USA 177),2004-009A,2026-08-23T04:54:38.703168,2.00552466,.01182334,54.7772,272.9743,175.9321,184.6696,0,U,28190,999,16429,0,.24E-6,0
SHIYAN-1 (SY-1),2004-012A,2026-08-27T04:35:41.050176,15.35444308,.00065947,97.8658,321.9490,122.5507,237.6373,0,U,28220,999,22198,.45576412E-3,.15631E-3,0
INTELSAT 10-02,2004-022A,2026-08-26T23:17:45.977856,1.00272310,.00002018,0.0573,269.1418,273.6224,140.9005,0,U,28358,999,8126,0,-.12E-6,0
NAVSTAR 55 (USA 178),2004-023A,2026-08-26T16:40:06.688704,2.00560276,.01587443,54.9145,83.8637,303.7770,238.2081,0,U,28361,999,16245,0,.2E-6,0
APRIZESAT 2,2004-025A,2026-08-27T06:08:21.949440,14.38062907,.01062945,98.1099,41.2428,36.1666,324.6650,0,U,28366,999,16185,.48296352E-4,.114E-5,0
SAUDICOMSAT 1,2004-025D,2026-08-26T11:31:21.513504,14.55516141,.00324003,98.5790,250.5166,166.0594,194.1505,0,U,28369,999,17435,.73096452E-4,.271E-5,0
SAUDICOMSAT 2,2004-025E,2026-08-27T06:28:58.599552,14.50016106,.00564455,98.6654,253.5287,45.2601,315.3166,0,U,28370,999,17040,.86308011E-4,.292E-5,0
SAUDISAT 2,2004-025F,2026-08-27T06:12:58.071744,14.56717843,.00259321,98.5554,241.0934,79.0558,281.3555,0,U,28371,999,17609,.69801986E-4,.264E-5,0
APRIZESAT 1,2004-025G,2026-08-27T06:46:48.597024,14.51811611,.00434473,98.6322,251.9501,299.8638,59.8243,0,U,28372,999,17222,.64471701E-4,.212E-5,0
